
[00:00:00.000 --> 00:00:00.050]  
[00:00:00.050 --> 00:00:00.280]   You
[00:00:00.280 --> 00:00:00.830]  're
[00:00:00.830 --> 00:00:01.380]   listening
[00:00:01.380 --> 00:00:01.560]   to
[00:00:01.560 --> 00:00:01.880]   the
[00:00:01.880 --> 00:00:01.930]   Q
[00:00:01.930 --> 00:00:02.020]  L
[00:00:02.020 --> 00:00:02.200]  IP
[00:00:02.200 --> 00:00:02.380]  's
[00:00:02.380 --> 00:00:03.080]   English
[00:00:03.080 --> 00:00:03.980]   podcast
[00:00:03.980 --> 00:00:04.440]   to
[00:00:04.440 --> 00:00:04.920]   download
[00:00:04.920 --> 00:00:05.100]   the
[00:00:05.100 --> 00:00:05.400]   study
[00:00:05.400 --> 00:00:05.720]   guide
[00:00:05.720 --> 00:00:06.240]   for
[00:00:06.240 --> 00:00:07.070]   this
[00:00:07.070 --> 00:00:07.230]   episode
[00:00:07.230 --> 00:00:07.680]   which
[00:00:07.680 --> 00:00:08.400]   includes
[00:00:08.400 --> 00:00:08.670]   the
[00:00:08.670 --> 00:00:09.570]   transcript
[00:00:09.570 --> 00:00:09.780]  ,
[00:00:09.780 --> 00:00:10.680]   detailed
[00:00:10.680 --> 00:00:11.680]   vocabulary
[00:00:11.680 --> 00:00:11.840]  ,
[00:00:11.840 --> 00:00:12.900]   explanations
[00:00:12.900 --> 00:00:13.140]  ,
[00:00:13.140 --> 00:00:13.760]   real
[00:00:13.760 --> 00:00:14.590]   world
[00:00:14.590 --> 00:00:15.240]   examples
[00:00:15.240 --> 00:00:15.470]  ,
[00:00:15.470 --> 00:00:15.800]   and
[00:00:15.800 --> 00:00:15.910]   a
[00:00:15.910 --> 00:00:16.410]   quiz
[00:00:16.410 --> 00:00:16.590]  ,
[00:00:16.590 --> 00:00:17.160]   visit
[00:00:17.160 --> 00:00:17.500]   our
[00:00:17.500 --> 00:00:18.360]   website
[00:00:18.360 --> 00:00:18.490]   Q
[00:00:18.490 --> 00:00:18.620]  L
[00:00:18.620 --> 00:00:18.890]  IP
[00:00:18.890 --> 00:00:19.160]  's
[00:00:19.160 --> 00:00:19.560]  .
[00:00:19.560 --> 00:00:20.000]  com
[00:00:20.000 --> 00:00:20.630]  .
[00:00:20.630 --> 00:00:20.840]   C
[00:00:20.840 --> 00:00:21.050]  -
[00:00:21.050 --> 00:00:21.250]  U
[00:00:21.250 --> 00:00:21.480]  -
[00:00:21.480 --> 00:00:21.680]  L
[00:00:21.680 --> 00:00:21.900]  -
[00:00:21.900 --> 00:00:22.100]  I
[00:00:22.100 --> 00:00:22.290]  -
[00:00:22.290 --> 00:00:22.520]  P
[00:00:22.520 --> 00:00:22.730]  -
[00:00:22.730 --> 00:00:22.960]  S
[00:00:22.960 --> 00:00:24.020]  .
[00:00:24.020 --> 00:00:24.920]  com
[00:00:24.920 --> 00:00:25.900]  .
[00:00:25.900 --> 00:00:25.950]  
[00:00:25.950 --> 00:00:26.730]   Hey
[00:00:26.730 --> 00:00:27.780]   everybody
[00:00:27.780 --> 00:00:28.240]  .
[00:00:28.240 --> 00:00:28.540]   My
[00:00:28.540 --> 00:00:29.190]   name
[00:00:29.190 --> 00:00:29.420]   is
[00:00:29.420 --> 00:00:30.380]   Andrew
[00:00:30.380 --> 00:00:30.770]  .
[00:00:30.770 --> 00:00:31.160]   And
[00:00:31.160 --> 00:00:31.290]   I
[00:00:31.290 --> 00:00:31.550]  'm
[00:00:31.550 --> 00:00:32.560]   Suzanne
[00:00:32.560 --> 00:00:32.900]  .
[00:00:32.900 --> 00:00:33.160]   And
[00:00:33.160 --> 00:00:33.360]   you
[00:00:33.360 --> 00:00:33.620]  're
[00:00:33.620 --> 00:00:34.240]   listening
[00:00:34.240 --> 00:00:34.620]   to
[00:00:34.620 --> 00:00:35.010]   Q
[00:00:35.010 --> 00:00:35.480]  L
[00:00:35.480 --> 00:00:36.330]  IP
[00:00:36.330 --> 00:00:37.180]  's
[00:00:37.180 --> 00:00:37.180]  .
[00:00:37.180 --> 00:00:38.010]   Hi
[00:00:38.010 --> 00:00:39.060]   Suzanne
