
[00:00:00.000 --> 00:00:00.010]  
[00:00:00.010 --> 00:00:00.540]   Hey
[00:00:00.540 --> 00:00:02.180]   everybody
[00:00:02.180 --> 00:00:02.620]  ,
[00:00:02.620 --> 00:00:02.810]   my
[00:00:02.810 --> 00:00:03.390]   name
[00:00:03.390 --> 00:00:03.560]   is
[00:00:03.560 --> 00:00:04.320]   Andrew
[00:00:04.320 --> 00:00:04.990]  ,
[00:00:04.990 --> 00:00:05.460]   and
[00:00:05.460 --> 00:00:05.610]   I
[00:00:05.610 --> 00:00:05.910]  'm
[00:00:05.910 --> 00:00:07.000]   Suzanne
[00:00:07.000 --> 00:00:07.220]  ,
[00:00:07.220 --> 00:00:07.550]   and
[00:00:07.550 --> 00:00:08.040]   you
[00:00:08.040 --> 00:00:08.210]  're
[00:00:08.210 --> 00:00:09.280]   listening
[00:00:09.280 --> 00:00:09.440]   to
[00:00:09.440 --> 00:00:09.530]   Q
[00:00:09.530 --> 00:00:09.620]  -
[00:00:09.620 --> 00:00:09.710]  L
[00:00:09.710 --> 00:00:09.990]  ips
[00:00:09.990 --> 00:00:12.000]  .
[00:00:12.000 --> 00:00:12.860]   Hello
[00:00:12.860 --> 00:00:13.910]   friends
[00:00:13.910 --> 00:00:14.220]  ,
[00:00:14.220 --> 00:00:15.390]   welcome
[00:00:15.390 --> 00:00:15.970]   back
[00:00:15.970 --> 00:00:16.290]   to
[00:00:16.290 --> 00:00:17.460]   another
[00:00:17.460 --> 00:00:18.510]   episode
[00:00:18.510 --> 00:00:18.820]   in
[00:00:18.820 --> 00:00:19.310]   our
[00:00:19.310 --> 00:00:20.110]   Speak
[00:00:20.110 --> 00:00:20.750]   Easy
[00:00:20.750 --> 00:00:21.700]   series
[00:00:21.700 --> 00:00:22.240]  .
[00:00:22.240 --> 00:00:22.580]   This
[00:00:22.580 --> 00:00:22.760]   is
[00:00:22.760 --> 00:00:23.020]   the
[00:00:23.020 --> 00:00:23.570]   series
[00:00:23.570 --> 00:00:23.990]   where
[00:00:23.990 --> 00:00:24.160]   we
[00:00:24.160 --> 00:00:24.770]   teach
[00:00:24.770 --> 00:00:24.870]   you
[00:00:24.870 --> 00:00:25.210]   some
[00:00:25.210 --> 00:00:25.650]   great
[00:00:25.650 --> 00:00:26.100]   tips
[00:00:26.100 --> 00:00:26.250]   to
[00:00:26.250 --> 00:00:26.600]   help
[00:00:26.600 --> 00:00:27.020]   your
[00:00:27.020 --> 00:00:27.700]   English
[00:00:27.700 --> 00:00:28.760]   pronunciation
[00:00:28.760 --> 00:00:28.770]  
[00:00:28.770 --> 00:00:29.320]   sound
[00:00:29.320 --> 00:00:29.960]   more
[00:00:29.960 --> 00:00:30.560]   natural
[00:00:30.560 --> 00:00:30.780]  ,
[00:00:30.780 --> 00:00:31.390]   more
[00:00:31.390 --> 00:00:32.360]   comprehens
[00:00:32.360 --> 00:00:32.810]  ible
[00:00:32.810 --> 00:00:33.030]  ,
[00:00:33.030 --> 00:00:33.540]   more
[00:00:33.540 --> 00:00:35.060]   understandable
[00:00:35.060 --> 00:00:35.320]  ,
[00:00:35.320 --> 00:00:35.710]   and
[00:00:35.710 --> 00:00:36.360]   today
[00:00:36.360 --> 00:00:36.420]   I
[00:00:36.420 --> 00:00:36.790]  'm
[00:00:36.790 --> 00:00:36.960]   joined
[00:00:36.960 --> 00:00:37.080]   by
[00:00:37.080 --> 00:00:38.320]   the
[00:00:38.320 --> 00:00:39.010]   resident
[00:00:39.010 --> 00:00:40.030]   pronunciation
[00:00:40.030 --> 00:00:40.520]   expert
[00:00:40.520 --> 00:00:40.910]   here
[00:00:40.910 --> 00:00:41.000]   at
[00:00:41.000 --> 00:00:41.080]   Q
[00:00:41.080 --> 00:00:41.160]  -
[00:00:41.160 --> 00:00:41.240]  L
[00:00:41.240 --> 00:00:41.480]  ips
[00:00:41.480 --> 00:00:42.050]   Suzanne
[00:00:42.050 --> 00:00:42.210]  ,
[00:00:42.210 --> 00:00:42.780]   Suzanne
[00:00:42.780 --> 00:00:42.940]  ,
[00:00:42.940 --> 00:00:43.180]   how
[00:00:43.180 --> 00:00:43.420]   are
[00:00:43.420 --> 00:00:43.780]   you
[00:00:43.780 --> 00:00:43.960]  ?
[00:00:43.960 --> 00:00:44.320]   Thanks
[00:00:44.320 --> 00:00:44.440]   so
[00:00:44.440 --> 00:00:44.680]   much
[00:00:44.680 --> 00:00:44.820]  ,
[00:00:44.820 --> 00:00:45.160]   Andrew
[00:00:45.160 --> 00:00:45.260]  ,
[00:00:45.260 --> 00:00:45.530]   for
[00:00:45.530 --> 00:00:45.680]   that
[00:00:45.680 --> 00:00:46.040]   lovely
[00:00:46.040 --> 00:00:46.750]   introduction
[00:00:46.750 --> 00:00:46.960]  .
[00:00:46.960 --> 00:00:47.070]   I
[00:00:47.070 --> 00:00:47.290]  'm
[00:00:47.290 --> 00:00:47.740]   good
[00:00:47.740 --> 00:00:47.960]  ,
[00:00:47.960 --> 00:00:48.070]   I
[00:00:48.070 --> 00:00:48.290]  'm
[00:00:48.290 --> 00:00:48.740]   good
[00:00:48.740 --> 00:00:48.960]  ,
[00:00:48.960 --> 00:00:49.070]   I
[00:00:49.070 --> 00:00:49.590]  'm
[00:00:49.590 --> 00:00:50.080]   excited
[00:00:50.080 --> 00:00:50.350]   to
[00:00:50.350 --> 00:00:50.820]   talk
[00:00:50.820 --> 00:00:51.320]   about
[00:00:51.320 --> 00:00:51.740]   our
[00:00:51.740 --> 00:00:52.420]   topic
[00:00:52.420 --> 00:00:52.840]   today
[00:00:52.840 --> 00:00:53.240]  .
[00:00:53.240 --> 00:00:53.480]   How
[00:00:53.480 --> 00:00:53.760]   are
[00:00:53.760 --> 00:00:54.020]   you
[00:00:54.020 --> 00:00:54.460]   doing
[00:00:54.460 --> 00:00:54.760]  ?
[00:00:54.760 --> 00:00:54.770]  
[00:00:54.770 --> 00:00:54.850]   I
[00:00:54.850 --> 00:00:55.020]  'm
[00:00:55.020 --> 00:00:55.500]   doing
[00:00:55.500 --> 00:00:55.970]   great
[00:00:55.970 --> 00:00:56.150]  ,
[00:00:56.150 --> 00:00:56.620]   thank
[00:00:56.620 --> 00:00:56.900]   you
[00:00:56.900 --> 00:00:57.380]   for
[00:00:57.380 --> 00:00:57.740]   asking
[00:00:57.740 --> 00:00:57.920]  ,
[00:00:57.920 --> 00:00:58.200]   and
[00:00:58.200 --> 00:00:58.630]   yeah
[00:00:58.630 --> 00:00:59.220]   Suzanne
[00:00:59.220 --> 00:00:59.390]  ,
[00:00:59.390 --> 00:00:59.580]   we
[00:00:59.580 --> 00:00:59.950]   have
[00:00:59.950 --> 00:01:00.220]   a
[00:01:00.220 --> 00:01:00.640]   really
[00:01:00.640 --> 00:01:00.780]  ,
[00:01:00.780 --> 00:01:00.870]   I
[00:01:00.870 --> 00:01:01.440]   think
[00:01:01.440 --> 00:01:01.690]  ,
[00:01:01.690 --> 00:01:02.860]   important
[00:01:02.860 --> 00:01:03.540]   lesson
[00:01:03.540 --> 00:01:04.060]   here
[00:01:04.060 --> 00:01:04.440]   today
[00:01:04.440 --> 00:01:04.750]   for
[00:01:04.750 --> 00:01:05.160]   many
[00:01:05.160 --> 00:01:05.480]   of
[00:01:05.480 --> 00:01:05.690]   our
[00:01:05.690 --> 00:01:06.520]   learners
[00:01:06.520 --> 00:01:06.740]  ,
[00:01:06.740 --> 00:01:08.010]   especially
[00:01:08.010 --> 00:01:08.640]   learners
[00:01:08.640 --> 00:01:09.060]   from
[00:01:09.060 --> 00:01:09.480]   Asia
[00:01:09.480 --> 00:01:09.680]  ,
[00:01:09.680 --> 00:01:10.220]   maybe
[00:01:10.220 --> 00:01:10.720]   from
[00:01:10.720 --> 00:01:11.210]   Japan
[00:01:11.210 --> 00:01:11.500]   and
[00:01:11.500 --> 00:01:11.990]   Korea
[00:01:11.990 --> 00:01:12.290]  ,
[00:01:12.290 --> 00:01:12.470]   and
[00:01:12.470 --> 00:01:12.960]   maybe
[00:01:12.960 --> 00:01:13.350]   from
[00:01:13.350 --> 00:01:13.740]   some
[00:01:13.740 --> 00:01:14.230]   other
[00:01:14.230 --> 00:01:15.110]   countries
[00:01:15.110 --> 00:01:15.500]   too
[00:01:15.500 --> 00:01:15.590]  ,
[00:01:15.590 --> 00:01:15.880]   but
[00:01:15.880 --> 00:01:16.370]   today
[00:01:16.370 --> 00:01:16.560]  's
[00:01:16.560 --> 00:01:17.050]   topic
[00:01:17.050 --> 00:01:17.240]   is
[00:01:17.240 --> 00:01:17.640]   how
[00:01:17.640 --> 00:01:18.720]   to
[00:01:18.720 --> 00:01:18.730]  
[00:01:18.730 --> 00:01:20.500]   differentiate
[00:01:20.500 --> 00:01:21.450]   between
[00:01:21.450 --> 00:01:21.580]   R
[00:01:21.580 --> 00:01:21.980]   and
[00:01:21.980 --> 00:01:22.120]   L
[00:01:22.120 --> 00:01:22.390]  ,
[00:01:22.390 --> 00:01:22.580]   R
[00:01:22.580 --> 00:01:22.930]   and
[00:01:22.930 --> 00:01:23.060]   L
[00:01:23.060 --> 00:01:23.330]  ,
[00:01:23.330 --> 00:01:23.740]   and
[00:01:23.740 --> 00:01:23.870]   I
[00:01:23.870 --> 00:01:24.410]   know
[00:01:24.410 --> 00:01:24.950]   many
[00:01:24.950 --> 00:01:25.900]   English
[00:01:25.900 --> 00:01:26.990]   learners
[00:01:26.990 --> 00:01:27.400]   say
[00:01:27.400 --> 00:01:28.000]   that
[00:01:28.000 --> 00:01:28.600]   this
[00:01:28.600 --> 00:01:28.760]   is
[00:01:28.760 --> 00:01:29.030]   one
[00:01:29.030 --> 00:01:29.290]   of
[00:01:29.290 --> 00:01:29.460]   the
[00:01:29.460 --> 00:01:29.800]   most
[00:01:29.800 --> 00:01:30.580]   difficult
[00:01:30.580 --> 00:01:31.190]   things
[00:01:31.190 --> 00:01:31.270]   to
[00:01:31.270 --> 00:01:31.440]   do
[00:01:31.440 --> 00:01:31.610]   in
[00:01:31.610 --> 00:01:32.210]   English
[00:01:32.210 --> 00:01:32.460]  ,
