
[00:00:00.000 --> 00:00:05.940]   The inauguration of Abraham Lincoln from the farmer's cabinet.
[00:00:05.940 --> 00:00:14.000]   Friday, March the 8th, 1861, read for Liberbox.org by Karen Savage.
[00:00:14.000 --> 00:00:16.500]   Washington, March 4th.
[00:00:16.500 --> 00:00:27.000]   The day was ushered in by a most exciting session of the Senate, that body sitting for 12 hours, from 7 o'clock yesterday evening to 7 o'clock this morning.
[00:00:27.000 --> 00:00:38.000]   As the hands of the clock pointed to 12 o'clock last night, and the Sabbath gave way to Monday the 4th of March, the Senate chamber presented a curious and animated appearance.
[00:00:38.000 --> 00:00:47.000]   The galleries were crowded to repletion, the ladies gallery resembling from the gay dresses of the fair ones they are congregated, some gorgeous parterra of flowers.
[00:00:47.000 --> 00:00:59.000]   And the gentleman's gallery seemed one dense black mass of surging, heaving masculine, pushing, struggling, and almost clambering over each other's backs in order to get a good look at the proceedings.
[00:00:59.000 --> 00:01:16.000]   Some most ludicrous scenes were the result of the intense desire of the outsiders to get a peep into the Senate chamber, and the pertinacity with which the applicant for admission to the overflowing galleries would urge that he had come all the way from Indiana or Varmont, or some other place afforded the seat.
[00:01:16.000 --> 00:01:37.000]   On the floor, Messier's Crittenden, Trumbull, Wickfall, Wade, Douglas, and others, kept up a rolling fire of debate, while those not engaged in the discussion, betook themselves to the sofas for a comfortable nap during the session, which it was known would last all night.
[00:01:37.000 --> 00:01:47.000]   As the morning advanced, the galleries and floor became gradually cleared out, when in the gray morning light the Senate took a recess till ten o'clock today.
[00:01:47.000 --> 00:01:50.000]   A few minutes after seven o'clock, but few remained.
[00:01:50.000 --> 00:02:05.000]   The morning broke clear and beautiful, and though at one time a few drops of rain fell, the day proved just calm and cloudy enough to prevent the usual heat of the past few days, and the whirlwind of dust that would otherwise render it excessively unpleasant.
[00:02:05.000 --> 00:02:10.000]   The public buildings, schools, places of business, etc., were closed throughout the day.
[00:02:10.000 --> 00:02:21.000]   The stars and stripes floated from the city hall, capital, board apartment, and other public buildings, while not a few of the citizens flung out flags from their houses or across the principal avenues.
[00:02:21.000 --> 00:02:31.000]   From early dawn the Drummond Five could be heard in every quarter of the city, and the streets were thronged with volunteer soldiers hastening to their respective rendezvous.
[00:02:31.000 --> 00:02:36.000]   Three or four hours elapsed before there was the least chance of entering the capital.
[00:02:36.000 --> 00:02:41.000]   Pennsylvania Avenue was thronged with people, winding their way to the famous East Front.
[00:02:41.000 --> 00:02:49.000]   For four hours the crowd poured on toward the capital in one continuous stream of old and young, male and female,
[00:02:49.000 --> 00:03:03.000]   stayed old Quakers from Pennsylvania going to see Friend Abraham, and lengthy suckers, Hoosiers and Wolverines, desirous of a peep at Mr. Lincoln, Buckeyes and Yankees, men from the northeast and the northwest, and a few from the border states.
[00:03:03.000 --> 00:03:10.000]   The large majority, however, were northern men, there being but few southerners, judging from the lack of long-haired men in the crowd.
[00:03:10.000 --> 00:03:15.000]   The order of arrangements, as settled by the Committee of Arrangements, was as follows.
